# Time-averaged data for fix printave
# TimeStep v_temp v_etotal v_enthalpy v_density v_press v_vol v_pe
248000 76.9476 -9.19156 -5.23933 1.31089 11875.3 182564 -9.4209
249000 77.0871 -9.1905 -5.23811 1.31088 11875.7 182565 -9.42025
250000 76.8749 -9.19164 -5.23935 1.31092 11875.8 182559 -9.42076
251000 76.9845 -9.19003 -5.23786 1.31091 11875.3 182561 -9.41948
252000 76.9731 -9.19021 -5.23885 1.31097 11873.4 182552 -9.41962
253000 76.934 -9.19016 -5.23855 1.31098 11874.3 182551 -9.41946
254000 77.0511 -9.18869 -5.23813 1.31112 11872.4 182531 -9.41834
255000 76.9217 -9.18934 -5.23807 1.31102 11873.6 182546 -9.4186
256000 77.0054 -9.18892 -5.23841 1.31107 11871.8 182539 -9.41843
257000 77.0082 -9.18848 -5.23765 1.31107 11872.7 182539 -9.418
258000 76.9493 -9.18989 -5.23918 1.31088 11870.6 182565 -9.41923
259000 76.9294 -9.19101 -5.23976 1.3108 11871.5 182576 -9.42029
260000 77.1878 -9.18897 -5.23836 1.31079 11869.5 182578 -9.41903
261000 76.8238 -9.19161 -5.24078 1.31083 11870.5 182572 -9.42058
262000 76.9653 -9.19052 -5.2404 1.31083 11868.4 182572 -9.41991
263000 76.9415 -9.1909 -5.24092 1.31084 11868 182571 -9.42022
264000 77.0072 -9.19005 -5.2395 1.31067 11868.3 182594 -9.41957
265000 77.1131 -9.19035 -5.23925 1.31064 11869.6 182599 -9.42018
266000 76.9511 -9.19057 -5.24117 1.31085 11866.5 182569 -9.41992
267000 77.0234 -9.19036 -5.24086 1.31076 11866 182582 -9.41993
268000 77.0014 -9.19164 -5.24201 1.31071 11865.8 182589 -9.42114
269000 77.1312 -9.19079 -5.24049 1.31055 11866.4 182611 -9.42067
270000 77.0683 -9.19083 -5.24147 1.31064 11864.4 182599 -9.42053
271000 77.1295 -9.18995 -5.24029 1.31066 11865.5 182595 -9.41983
272000 76.8369 -9.19126 -5.24229 1.31067 11863.5 182594 -9.42027
273000 77.1445 -9.18932 -5.24107 1.31092 11863.6 182560 -9.41925
274000 77.1266 -9.19017 -5.24107 1.31077 11864.8 182580 -9.42004
275000 77.1121 -9.1908 -5.24243 1.31072 11862.1 182587 -9.42062
276000 76.873 -9.19237 -5.24404 1.31063 11861.2 182600 -9.42148
277000 76.845 -9.19105 -5.24302 1.31078 11861.6 182579 -9.42008
278000 76.9176 -9.19056 -5.24309 1.31107 11862.6 182538 -9.41981
279000 77.1238 -9.18937 -5.24272 1.31096 11859.1 182554 -9.41924
280000 76.9941 -9.1905 -5.24267 1.31072 11860.5 182588 -9.41998
281000 76.9897 -9.19177 -5.24381 1.31062 11860 182601 -9.42123
282000 77.0694 -9.1905 -5.24275 1.31056 11858.8 182609 -9.4202
283000 77.2185 -9.18975 -5.24185 1.31058 11859.5 182607 -9.4199
284000 76.9672 -9.19122 -5.2439 1.31062 11858.1 182601 -9.42062
285000 76.8795 -9.19074 -5.244 1.31081 11858 182575 -9.41987
286000 77.1692 -9.18841 -5.24161 1.31075 11857.7 182583 -9.4184
287000 76.9734 -9.18974 -5.24395 1.31095 11856.5 182555 -9.41916
288000 77.0921 -9.18952 -5.24368 1.31095 11856.7 182555 -9.41929
289000 76.9343 -9.18999 -5.2446 1.31095 11855.3 182556 -9.41929
290000 76.8687 -9.18994 -5.24477 1.31101 11855.2 182547 -9.41904
291000 77.1125 -9.18866 -5.24298 1.31086 11855.4 182567 -9.41849
292000 77.0193 -9.19074 -5.24573 1.31082 11853 182573 -9.42029
293000 77.1592 -9.18879 -5.24359 1.31093 11854.5 182558 -9.41876
294000 77.0085 -9.19085 -5.24619 1.31088 11852.4 182565 -9.42037
295000 76.9337 -9.19134 -5.2463 1.31085 11853.3 182570 -9.42064
296000 76.8957 -9.1916 -5.24661 1.3108 11852.7 182577 -9.42078
297000 76.8156 -9.191 -5.24632 1.31079 11851.7 182577 -9.41995
298000 76.9334 -9.18939 -5.24532 1.31108 11852.4 182538 -9.41868
299000 77.0427 -9.18902 -5.24557 1.31087 11848.7 182566 -9.41864
300000 76.9655 -9.18937 -5.24555 1.31098 11850.9 182551 -9.41877
301000 76.9895 -9.18941 -5.24528 1.31081 11850.2 182575 -9.41887
302000 77.0583 -9.18945 -5.24584 1.31088 11849.3 182565 -9.41911
303000 77.084 -9.18987 -5.24651 1.31074 11847.2 182585 -9.41961
304000 76.9713 -9.19041 -5.24699 1.31084 11848.3 182571 -9.41982
305000 76.9468 -9.19036 -5.24718 1.31078 11847.1 182579 -9.4197
306000 76.9825 -9.1904 -5.24646 1.31067 11848.4 182595 -9.41984
307000 77.2042 -9.18929 -5.24558 1.31055 11846.7 182610 -9.41939
