# Time-averaged data for fix printave
# TimeStep v_temp v_etotal v_enthalpy v_density v_press v_vol v_pe
206000 76.9353 -9.66523 -9.61748 0.935713 102.469 255763 -9.89453
207000 76.9847 -9.66492 -9.61705 0.935798 102.722 255740 -9.89437
208000 76.7949 -9.66611 -9.61734 0.935729 104.659 255759 -9.89499
209000 76.9876 -9.66511 -9.61639 0.935787 104.546 255743 -9.89457
210000 76.9232 -9.66528 -9.61652 0.935777 104.653 255746 -9.89454
211000 77.0061 -9.66479 -9.61532 0.935856 106.155 255724 -9.8943
212000 76.97 -9.66464 -9.61557 0.935863 105.283 255722 -9.89404
213000 76.9624 -9.66484 -9.61586 0.935802 105.121 255739 -9.89422
214000 77.0825 -9.66402 -9.61381 0.935836 107.744 255730 -9.89376
215000 77.0531 -9.66435 -9.61463 0.935857 106.699 255724 -9.894
216000 76.9395 -9.66498 -9.61487 0.935828 107.532 255732 -9.8943
217000 76.9644 -9.66476 -9.61447 0.935809 107.902 255737 -9.89414
218000 77.1055 -9.66402 -9.61341 0.935853 108.59 255725 -9.89382
219000 77.1068 -9.66424 -9.61257 0.935883 110.883 255717 -9.89405
220000 77.1351 -9.66404 -9.6132 0.935876 109.117 255719 -9.89393
221000 76.9853 -9.66483 -9.61294 0.935915 111.388 255708 -9.89428
222000 77.0345 -9.66447 -9.61361 0.935887 109.164 255716 -9.89407
223000 77.0349 -9.66455 -9.61249 0.935904 111.712 255711 -9.89415
224000 76.9794 -9.66523 -9.61347 0.936043 111.085 255673 -9.89466
225000 77.1859 -9.66415 -9.61157 0.935946 112.833 255699 -9.8942
226000 77.0057 -9.66503 -9.61238 0.936084 113.019 255662 -9.89454
227000 77.0564 -9.66461 -9.61136 0.936134 114.287 255648 -9.89427
228000 76.9556 -9.66531 -9.61277 0.936209 112.794 255628 -9.89467
229000 76.9247 -9.6652 -9.61194 0.936131 114.313 255649 -9.89447
230000 76.9494 -9.66491 -9.61137 0.936074 114.891 255665 -9.89425
231000 77.1287 -9.66409 -9.6106 0.936081 114.809 255663 -9.89397
232000 77.0286 -9.66469 -9.61073 0.936058 115.799 255669 -9.89427
233000 77.0365 -9.66467 -9.61058 0.936018 116.093 255680 -9.89427
234000 76.915 -9.66528 -9.61089 0.936095 116.749 255659 -9.89452
235000 76.9776 -9.6647 -9.60995 0.936177 117.523 255636 -9.89413
236000 77.0153 -9.66442 -9.60983 0.9362 117.174 255630 -9.89396
237000 76.9828 -9.6651 -9.60968 0.936242 118.99 255619 -9.89454
238000 77.0085 -9.66501 -9.6101 0.936231 117.853 255622 -9.89453
239000 76.9243 -9.66568 -9.60979 0.936185 119.986 255634 -9.89495
240000 77.0806 -9.66451 -9.60844 0.936004 120.328 255684 -9.89424
241000 77.0909 -9.66421 -9.6084 0.935825 119.76 255733 -9.89397
242000 77.1359 -9.66423 -9.60769 0.935862 121.337 255722 -9.89413
243000 76.956 -9.66543 -9.60951 0.935741 119.988 255756 -9.89479
